epoch	train_loss	val_loss	val_acc_avg	image_to_text_acc	image_to_text_top5	text_to_image_acc	text_to_image_top5
1	2.2293	1.9860	0.3325	0.3343	0.7881	0.3307	0.7897
2	1.6874	1.7748	0.4024	0.4006	0.8407	0.4042	0.8379
3	1.2954	1.8627	0.4060	0.4016	0.8398	0.4104	0.8366
4	0.9446	1.9423	0.4166	0.4058	0.8560	0.4274	0.8522
5	0.6776	2.2540	0.4091	0.4061	0.8433	0.4120	0.8548
1	2.2028	1.9158	0.3497	0.3421	0.8024	0.3572	0.8154
2	1.6763	1.7777	0.4027	0.3986	0.8381	0.4068	0.8411
3	1.2971	1.7829	0.4109	0.3996	0.8495	0.4221	0.8420
4	0.9415	2.1586	0.3957	0.3830	0.8316	0.4084	0.8460
5	0.6739	2.3077	0.4004	0.3928	0.8424	0.4081	0.8438
1	2.2158	1.9345	0.3402	0.3350	0.7975	0.3454	0.8027
2	1.6790	1.8001	0.3914	0.3794	0.8288	0.4035	0.8379
3	1.3008	1.8061	0.4115	0.4048	0.8451	0.4182	0.8503
